count,allocation_time,fill_time,calculation_time
100,98410400,108000,47200
200,374500,66700,59500
300,362700,97000,180700
400,359000,152800,339300
500,706400,221000,749000
600,1048100,305300,1100700
700,1003400,408600,1970600
800,1332800,524500,3155100
900,1315600,664200,4353500
1000,1307400,818700,5207000
1100,1690200,990400,8063500
1200,1674800,1182900,8949700
1300,1982000,1393400,13263200
1400,1988400,1625700,14355100
1500,2271700,1870700,19310000
1600,2350400,2057200,24573900
1700,2545500,2333500,25428000
1800,2413500,1747400,19790200
1900,2302000,1904700,25833900
2000,2721900,2288500,28468000
2100,2782100,2566900,37094300
2200,3034300,2794000,37781200
2300,3274100,3068500,48230700
2400,3309100,3411700,57821100
2500,3513300,3598200,61966300
2600,3809100,4039700,63337100
2700,4066300,4382200,79421200
2800,4302800,4728700,77506600
2900,4650000,5100600,99117600
3000,5044000,5458500,97443600
3100,7495500,5851400,121042300
3200,5600700,6231600,137656100
3300,5498200,6237300,145950100
3400,7516100,6776400,143914500
3500,6718700,7255500,175784200
3600,6544300,7975600,167991000
3700,8335300,8113700,207777700
3800,7166300,8887900,201312300
3900,8189000,9354100,241318500
4000,8015300,10000500,269848000
4100,8311800,9733600,274566900
4200,8734600,10972400,271394800
4300,17995300,10919700,327387800
4400,9128200,11947400,308711300
4500,9504200,12249700,381827700
4600,9679500,12901900,359138400
4700,34371400,12518500,435832300
4800,34236900,12965200,470364400
4900,10400200,14535700,496264500
5000,11012500,15607000,466380300
5100,11164400,15923100,566843400
5200,11897100,16288500,512977600
5300,35565500,16007100,631635700
5400,35553200,16635200,585900000
5500,12808100,18630000,714649800
5600,13250800,19558700,753451400
5700,13083700,19276400,792252000
5800,14187600,20534800,729452200
5900,14439200,21283300,886381100
6000,15457700,22268300,792718700
6100,15685200,22564300,976047800
6200,16668200,23577900,898349400
6300,40201200,22848200,1089309500
6400,16545200,25158000,1131293100
6500,40824700,23924200,1196202200
6600,17351100,26076700,1094641400
6700,18149500,27246500,1321327700
6800,41153900,26475800,1178462200
6900,18499000,28833000,1441607100
7000,19599900,29907600,1305316400
7100,19837100,30803100,1572638700
7200,20068500,31407800,1618462600
7300,20047100,31480400,1724269500
7400,22552000,33615000,1554061600
7500,44626700,33401400,1878473100
7600,22600300,35526800,1656120300
7700,44454500,35425500,2031459500
7800,23701000,37309600,1811854200
7900,45888900,37490300,2198072800
8000,56420200,37087300,2237531100
8100,23978400,39907100,2346310300
8200,25924000,41710200,2081203700
8300,25754000,42821200,2555721700
8400,25946700,43642600,2257308200
8500,26711800,44574500,2748480200
8600,40824900,44941200,2496623500
8700,40179800,46350800,3010164200
8800,27954800,47684900,2995417500
8900,40437600,49532900,3172186400
9000,29778700,50494900,2875806300
9100,30886000,52631100,3418138800
9200,30352600,52834400,4520189900
9300,30785100,54397600,3671197100
9400,32541800,56098700,3369169900
9500,44085700,57137700,3957784000
9600,32297800,59039000,3915041700
9700,44234700,60474100,4240580100
9800,45914700,62277100,5519398100
9900,34569800,62650000,4531197100
10000,35269400,64208900,6190348100
